Board MP7_CERN_MAC93
 Quad/Chan :    q00c0      q00c1      q00c2      q00c3      q01c0      q01c1      q01c2      q01c3      q02c0      q02c1      q02c2      q02c3      q03c0      q03c1      q03c2      q03c3      q04c0      q04c1      q04c2      q04c3      q05c0      q05c1      q05c2      q05c3      q06c0      q06c1      q06c2      q06c3      q07c0      q07c1      q07c2      q07c3      q08c0      q08c1      q08c2      q08c3      q09c0      q09c1      q09c2      q09c3      q10c0      q10c1      q10c2      q10c3      q11c0      q11c1      q11c2      q11c3      q12c0      q12c1      q12c2      q12c3      q13c0      q13c1      q13c2      q13c3      q14c0      q14c1      q14c2      q14c3      q15c0      q15c1      q15c2      q15c3      q16c0      q16c1      q16c2      q16c3      q17c0      q17c1      q17c2      q17c3  
      Link :     00         01         02         03         04         05         06         07         08         09         10         11         12         13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39         40         41         42         43         44         45         46         47         48         49         50         51         52         53         54         55         56         57         58         59         60         61         62         63         64         65         66         67         68         69         70         71    
Frame 0010 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0011 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0012 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0013 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0014 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0015 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0016 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0017 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0018 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0019 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0020 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00020000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0021 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0022 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0023 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0024 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0025 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0026 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
Frame 0027 : 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000 1v00000000 0v00000000
